t_s,files_done,bytes_done,peak_rss_mb
428.0,7973,47750297,86.4
430.0,8106,48546834,86.4
432.0,8192,49061888,86.4
434.0,8361,50074029,86.4
436.0,8448,50595072,86.4
438.0,8585,51415565,86.4
440.0,8704,52128256,86.4
442.0,8814,52787046,86.4
444.0,8960,53661440,87.2
446.0,8960,53661440,87.7
448.0,9204,55122756,87.7
450.0,9216,55194624,88.7
452.0,9414,56380446,88.7
454.0,9471,56721819,90.3
456.0,9636,57710004,90.3
458.0,9727,58255003,90.3
460.0,9849,58985661,90.3
462.0,9983,59788187,90.3
