phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,699184.529,7.01,2001,11.984,0.02
history_parse,102.908,0.00,2001,0.000,0.00
bucket_stream,5961411.122,59.73,16459,135949.160,22.80
xdr_decompress,3219304.909,32.25,8004,47129.386,14.64
xdr_parse_ledger,139.395,0.00,2001,0.000,0.00
xdr_parse_tx,81712.447,0.82,2001,0.000,0.00
xdr_parse_result,18689.520,0.19,2001,0.000,0.00
xdr_parse_scp,549.638,0.01,2001,0.000,0.00
cross_file_verify,29.039,0.00,2001,0.000,0.00
chain_verify,0.255,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
