t_s,files_done,bytes_done,peak_rss_mb
2.0,445,6169544136,878.2
4.0,879,14125269141,978.9
6.0,1443,17120595274,1057.2
8.0,1870,19449152293,1205.6
10.0,2332,22034728289,1291.3
12.0,2858,32451835826,1291.3
14.0,3349,35889729563,1291.3
16.0,3795,38161338032,1324.6
18.0,4292,41022627105,1536.6
20.0,4847,44796705892,1552.2
22.0,5312,48842852685,1584.4
24.0,5744,52304432292,1584.4
26.0,6155,54852478140,1614.1
28.0,6658,59075049408,1634.8
30.0,7190,62302095961,1736.5
32.0,7617,65046014196,1754.3
34.0,8104,68642840328,1754.3
36.0,8553,71698186798,1764.1
38.0,9012,74681739987,1764.1
40.0,9452,77526169475,1764.1
42.0,9921,81044645867,1764.1
44.0,10491,83781682869,1764.1
46.0,10999,86185335981,1764.1
48.0,11539,90906302522,1764.1
50.0,11956,94129870084,1769.5
52.0,12585,98095827508,1778.1
54.0,13099,101013760926,1822.8
56.0,13597,105051384744,1822.8
58.0,14098,107564309462,1822.8
60.0,14577,109938200549,1822.8
62.0,15148,113208016275,1894.3
64.0,15721,115658488297,1894.3
66.0,16297,117707021379,1933.3
68.0,16833,121332043168,2000.2
70.0,17306,124043373433,2000.2
72.0,17855,127070294288,2000.2
74.0,18485,132732595322,2000.2
76.0,19072,136221111357,2000.2
78.0,19563,139050205464,2000.2
80.0,20128,141975526681,2000.2
82.0,20648,146460270329,2000.2
84.0,21068,149287846514,2000.2
86.0,21631,151665309565,2000.2
88.0,22155,154770305417,2034.3
90.0,22759,157589735009,2071.1
92.0,23306,159728894541,2071.1
94.0,23778,163382521295,2071.1
96.0,24193,165931939229,2094.1
98.0,24772,169381611679,2094.1
100.0,25331,173489318001,2094.1
102.0,25752,177066510388,2205.3
104.0,26130,179447585935,2205.3
106.0,26463,181549908489,2205.3
