phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,2588.041,0.64,2001,11.984,4.63
history_parse,134.408,0.03,2001,0.000,0.00
bucket_stream,234375.189,58.40,16459,135949.160,580.05
xdr_decompress,63831.105,15.91,8004,47129.386,738.35
xdr_parse_ledger,144.704,0.04,2001,0.000,0.00
xdr_parse_tx,80228.207,19.99,2001,0.000,0.00
xdr_parse_result,19342.071,4.82,2001,0.000,0.00
xdr_parse_scp,637.165,0.16,2001,0.000,0.00
cross_file_verify,20.857,0.01,2001,0.000,0.00
chain_verify,0.070,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
