phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,7685.624,0.12,2001,11.984,1.56
history_parse,296.778,0.00,2001,0.000,0.00
bucket_stream,4766846.466,74.11,16459,135949.160,28.52
xdr_decompress,1195559.847,18.59,8004,47129.386,39.42
xdr_parse_ledger,463.573,0.01,2001,0.000,0.00
xdr_parse_tx,368706.020,5.73,2001,0.000,0.00
xdr_parse_result,91291.272,1.42,2001,0.000,0.00
xdr_parse_scp,1594.003,0.02,2001,0.000,0.00
cross_file_verify,41.737,0.00,2001,0.000,0.00
chain_verify,0.101,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
