phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,2690462.630,5.82,2001,11.984,0.00
history_parse,269.729,0.00,2001,0.000,0.00
bucket_stream,29951736.566,64.74,16459,135949.160,4.54
xdr_decompress,13153524.975,28.43,8004,47129.386,3.58
xdr_parse_ledger,473.520,0.00,2001,0.000,0.00
xdr_parse_tx,373641.400,0.81,2001,0.000,0.00
xdr_parse_result,92469.127,0.20,2001,0.000,0.00
xdr_parse_scp,1568.365,0.00,2001,0.000,0.00
cross_file_verify,43.549,0.00,2001,0.000,0.00
chain_verify,0.463,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
