t_s,files_done,bytes_done,peak_rss_mb
2.0,88,837638632,537.6
4.0,238,2686374798,611.2
6.0,292,3016554383,874.9
8.0,423,5989397125,925.6
10.0,543,6889877186,925.6
12.0,624,11928993586,1033.1
14.0,755,12694367049,1033.1
16.0,852,13201480464,1033.1
18.0,987,14593562039,1033.1
20.0,1044,14942713414,1036.6
22.0,1171,15512999684,1064.1
24.0,1299,16494143090,1167.2
26.0,1438,17136209500,1167.2
28.0,1488,17410579030,1171.9
30.0,1645,18374562115,1171.9
32.0,1734,18771100447,1196.1
34.0,1866,19366612967,1229.5
36.0,1952,20138874213,1229.5
38.0,2062,20637698736,1278.7
40.0,2153,21172736456,1278.7
42.0,2245,21669656965,1344.1
44.0,2378,22363647396,1345.2
46.0,2461,23121212114,1351.3
48.0,2578,23746994134,1351.3
50.0,2701,24315599168,1351.3
52.0,2809,24868547938,1364.4
54.0,2935,32850666135,1364.4
56.0,3005,33150652083,1364.4
58.0,3151,34794245319,1364.4
60.0,3200,35247850813,1364.4
62.0,3354,35928620555,1364.4
64.0,3491,36520986793,1377.5
66.0,3571,36882206567,1377.5
68.0,3682,37613265072,1377.5
70.0,3800,38145499015,1377.5
72.0,3917,38724854598,1377.5
74.0,4031,39185333906,1484.5
76.0,4160,40229082939,1484.5
78.0,4194,40477573747,1577.6
80.0,4362,41285635797,1577.6
82.0,4399,41550410793,1577.6
84.0,4578,42103415812,1577.6
86.0,4708,42783471134,1577.6
88.0,4751,43009590240,1577.6
90.0,4915,45173897668,1623.4
92.0,5029,46105263964,1658.3
94.0,5116,46734295711,1658.3
96.0,5215,47836609307,1658.3
98.0,5311,48791000990,1690.6
100.0,5427,49646647483,1694.5
102.0,5504,50327282034,1697.5
104.0,5618,50945720239,1697.5
106.0,5689,51706186182,1746.2
108.0,5826,52802705647,1749.7
110.0,5906,53278183679,1749.7
112.0,6022,53983920075,1803.1
114.0,6124,54685498534,1803.1
116.0,6205,55041727751,1803.7
118.0,6296,55665134739,1803.7
120.0,6389,57336581037,1803.7
122.0,6520,57989953190,1803.7
124.0,6607,58951992495,1803.7
126.0,6766,59765372794,1803.7
128.0,6907,60316033791,1803.7
130.0,7004,60878413312,1803.7
132.0,7109,61917719058,1803.7
134.0,7234,62492308735,1803.7
136.0,7326,62946517654,1844.4
138.0,7425,64061625397,1844.4
140.0,7517,64534167473,1844.4
142.0,7639,65164199722,1844.4
144.0,7735,65663257932,1844.4
146.0,7856,66861576319,1844.4
148.0,7937,67519021319,1844.4
150.0,8060,68263938235,1844.4
152.0,8144,68907328259,1844.4
154.0,8251,69534764294,1844.4
156.0,8375,70219984742,1884.4
158.0,8423,70751854521,1884.4
160.0,8562,71514908002,1884.4
162.0,8642,72293119551,1884.4
164.0,8750,73085254640,1884.4
166.0,8827,73507224519,1884.4
168.0,8957,74291063762,1884.4
170.0,9060,75414589100,1884.4
172.0,9140,75954085996,1884.4
174.0,9274,76722722528,1884.4
176.0,9348,77024245313,1884.4
178.0,9485,77608224560,1884.4
180.0,9556,78008503721,1884.4
182.0,9707,79745369814,1884.4
184.0,9756,79960015874,1884.4
186.0,9926,80996665129,1884.4
188.0,10004,81377858837,1884.4
190.0,10122,81880407693,1884.4
192.0,10233,82721794410,1884.4
194.0,10323,83073122781,1884.4
196.0,10489,83761206311,1884.4
198.0,10519,84027935199,1884.4
200.0,10697,84911402336,1884.4
202.0,10817,85456325653,1884.4
204.0,10925,85897417509,1884.4
206.0,11086,86454833112,1884.4
208.0,11167,86925386028,1884.4
210.0,11268,87495035121,1884.4
212.0,11439,88615195648,1884.4
214.0,11521,90743617590,1884.4
216.0,11611,91590257376,1884.4
218.0,11745,92498758511,1888.6
220.0,11871,93432473977,1888.6
222.0,11931,94012353655,1888.6
224.0,12083,94964569027,1888.6
226.0,12168,95443637385,1888.6
228.0,12300,96114215597,1888.6
230.0,12458,97353978840,1888.6
232.0,12544,97880068782,1888.6
234.0,12661,98505607453,1888.6
236.0,12820,99206262170,1888.6
238.0,12919,99919555677,1888.6
240.0,13034,100652626133,1936.0
242.0,13138,101469292291,1936.0
244.0,13199,103235645354,1936.0
246.0,13364,103893750427,1936.0
248.0,13427,104288318983,1936.0
250.0,13580,104957596228,1936.0
252.0,13687,105816725839,1936.0
254.0,13786,106265412415,1936.0
256.0,13904,106849295919,1936.0
258.0,14002,107169455535,1936.0
260.0,14161,108281387590,1936.0
262.0,14226,108571565871,1936.0
264.0,14381,109160659743,1936.0
266.0,14429,109368747017,1936.0
268.0,14619,110033899994,1936.0
270.0,14643,111061749957,1936.0
272.0,14818,111704016984,1936.0
274.0,14901,112221848535,1936.0
276.0,15037,112795990817,1936.0
278.0,15194,113329444898,1936.0
280.0,15348,114062983802,1936.0
282.0,15430,114354047885,1936.0
284.0,15587,114947580329,1936.0
286.0,15719,115394474395,1936.0
288.0,15828,115980464994,1936.0
290.0,15995,116480544900,1936.0
292.0,16118,116977357941,1936.0
294.0,16180,117280794518,1936.0
296.0,16359,117884467854,1936.0
298.0,16397,118089282673,1936.0
300.0,16583,119913523284,1936.0
302.0,16602,120171901917,1936.0
304.0,16791,121076607124,1969.8
306.0,16884,121578604695,2014.1
308.0,16961,122048169922,2014.1
310.0,17100,122857677294,2014.1
312.0,17253,123665389378,2014.1
314.0,17290,124007492181,2068.9
316.0,17488,124855592652,2068.9
318.0,17591,125524384551,2068.9
320.0,17733,126325955228,2148.6
322.0,17898,127209985426,2148.6
324.0,17923,127482756103,2148.6
326.0,18089,128515821346,2148.6
328.0,18245,129459839785,2148.6
330.0,18389,132166488443,2148.6
332.0,18516,132961412071,2186.9
334.0,18629,133783577580,2186.9
336.0,18762,134189134915,2186.9
338.0,18928,135597381771,2186.9
340.0,19052,136040797183,2186.9
342.0,19174,136532471700,2186.9
344.0,19300,136917064323,2201.5
346.0,19381,138157432829,2201.5
348.0,19487,138617468245,2223.5
350.0,19635,139274214258,2226.7
352.0,19782,140015404642,2226.7
354.0,19827,140357628473,2226.7
356.0,20007,141229656321,2226.7
358.0,20122,141823479190,2226.7
360.0,20222,143888196274,2226.7
362.0,20378,144660605684,2226.7
364.0,20424,145116295012,2268.4
366.0,20574,145690305036,2268.4
368.0,20698,146760382170,2268.4
370.0,20734,146992272663,2268.4
372.0,20906,147882872007,2351.1
374.0,20923,148468185408,2379.5
376.0,21080,149218056659,2379.5
378.0,21215,149837200269,2379.5
380.0,21335,150463350197,2379.5
382.0,21407,150757760085,2379.5
384.0,21555,151340585659,2379.5
386.0,21685,152676705943,2379.5
388.0,21736,153106355075,2379.5
390.0,21911,153778888836,2379.5
392.0,22011,154222915161,2379.5
394.0,22162,154765370091,2379.5
396.0,22256,155468671254,2379.5
398.0,22357,155926212241,2379.5
400.0,22482,156409950436,2379.5
402.0,22584,156793018278,2379.5
404.0,22765,157708970919,2379.5
406.0,22904,158237056376,2379.5
408.0,23026,158631994212,2379.5
410.0,23157,159131151792,2379.5
412.0,23270,159551493543,2379.5
414.0,23400,161190914983,2379.5
416.0,23471,161575066488,2408.5
418.0,23492,161790502818,2408.5
420.0,23669,162694867753,2408.5
422.0,23777,163316786436,2408.5
424.0,23863,164022020838,2408.5
426.0,24008,164808725377,2408.5
428.0,24070,165331344518,2408.5
430.0,24187,165884253344,2408.5
432.0,24321,166705794992,2408.5
434.0,24365,167183974534,2408.5
436.0,24521,168048578781,2408.5
438.0,24667,168790580581,2408.5
440.0,24728,169140175869,2408.5
442.0,24869,169855317615,2408.5
444.0,25019,170409909844,2408.5
446.0,25169,171170379441,2408.5
448.0,25264,173204532167,2408.5
450.0,25343,173588402335,2408.5
452.0,25420,174118213807,2408.5
454.0,25543,174999693801,2408.5
456.0,25586,175360853645,2408.5
458.0,25723,176833777161,2408.5
460.0,25803,177248058250,2408.5
462.0,25897,178063795046,2408.5
464.0,25978,178663124424,2408.5
466.0,26062,179057064107,2408.5
468.0,26169,180020494324,2408.5
470.0,26214,180308955209,2408.5
472.0,26364,181066628487,2408.5
474.0,26442,181487858277,2408.5
476.0,26463,181549908489,2408.5
478.0,26463,181549908489,2408.5
480.0,26463,181549908489,2408.5
482.0,26463,181549908489,2408.5
