phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,14.553,0.01,17,0.102,7.00
history_parse,2.473,0.00,17,0.000,0.00
bucket_stream,139892.559,95.88,171,19228.672,137.45
xdr_decompress,1754.971,1.20,51,437.695,249.40
xdr_parse_ledger,3.943,0.00,17,0.000,0.00
xdr_parse_tx,3388.626,2.32,17,0.000,0.00
xdr_parse_result,843.040,0.58,17,0.000,0.00
xdr_parse_scp,0.000,0.00,0,0.000,0.00
cross_file_verify,0.350,0.00,17,0.000,0.00
chain_verify,0.001,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
