t_s,files_done,bytes_done,peak_rss_mb
2.0,36,3202333049,1040.0
4.0,39,7748932613,1040.0
6.0,39,7748932613,1040.0
8.0,39,7748932613,1040.0
10.0,39,7748932613,1040.0
12.0,153,15927393862,1040.0
14.0,379,17812774444,1040.0
16.0,581,19148993932,1040.0
18.0,888,21547319540,1040.0
20.0,1174,23352122618,1040.0
22.0,1463,24971362615,1040.0
24.0,1834,26720817188,1040.0
26.0,2132,28515802103,1040.0
28.0,2404,30278256876,1040.0
30.0,2666,31642797476,1040.0
32.0,2920,33828621344,1040.0
34.0,3275,35562999028,1040.0
36.0,3609,37323348294,1040.0
38.0,3932,39139149591,1040.0
40.0,4293,41068387007,1040.0
42.0,4361,42620069896,1040.0
44.0,4742,44238164927,1040.0
46.0,5050,46422234695,1040.0
48.0,5266,48653099788,1040.0
50.0,5481,50638904325,1040.0
52.0,5767,52522763116,1040.0
54.0,5974,53853083980,1040.0
56.0,6198,56198426350,1040.0
58.0,6438,58038482681,1040.0
60.0,6783,59952835836,1040.0
62.0,7039,61649116752,1040.0
64.0,7261,63276931113,1040.0
66.0,7614,65111112624,1040.0
68.0,7828,66933706725,1040.0
70.0,8117,68822466047,1040.0
72.0,8401,70706051333,1040.0
74.0,8646,72426847108,1040.0
76.0,8862,74288475017,1040.0
78.0,9156,76097699948,1040.0
80.0,9271,77829036393,1040.0
82.0,9614,79400387148,1040.0
84.0,9935,81102921697,1040.0
86.0,10238,82727762056,1040.0
88.0,10513,84343710613,1040.0
90.0,10951,86011960388,1040.0
92.0,11088,87804060630,1040.0
94.0,11429,90123033720,1040.0
96.0,11697,92396643276,1040.0
98.0,11964,94323080349,1040.0
100.0,12221,96287727241,1040.0
102.0,12593,98274547098,1040.0
104.0,12645,99885067190,1040.0
106.0,12996,101858484101,1040.0
108.0,13288,103627405275,1040.0
110.0,13574,105309729588,1040.0
112.0,13899,106826555644,1040.0
114.0,14240,108695285334,1040.0
116.0,14449,110278349145,1040.0
118.0,14830,111955575769,1040.0
120.0,15235,113708203627,1040.0
122.0,15653,115423911903,1040.0
124.0,16028,116699176588,1040.0
126.0,16294,118724849624,1040.0
128.0,16675,120527560076,1040.0
130.0,17025,122531514834,1040.0
132.0,17332,124254049788,1040.0
134.0,17724,126505501575,1040.0
136.0,17827,128188863566,1040.0
138.0,18150,130341628186,1040.0
140.0,18424,132628642066,1040.0
142.0,18674,134246192344,1040.0
144.0,19066,136219701278,1040.0
146.0,19322,137873415909,1040.0
148.0,19526,138921230200,1040.0
150.0,19749,141437151772,1040.0
152.0,20113,143419107142,1040.0
154.0,20410,145296000061,1040.0
156.0,20736,147191584630,1040.0
158.0,21019,149015867612,1040.0
160.0,21229,150063744756,1040.0
162.0,21585,152321664344,1040.0
164.0,21964,154022322549,1040.0
166.0,22291,155691656318,1040.0
168.0,22655,157324456420,1040.0
170.0,22938,158363756656,1040.0
172.0,23272,160647884669,1040.0
174.0,23613,162475294818,1040.0
176.0,23925,164471814970,1040.0
178.0,24218,166255186192,1040.0
180.0,24554,168345270510,1040.0
182.0,24676,170026488571,1040.0
184.0,25066,171981309307,1040.0
186.0,25375,173858203118,1040.0
188.0,25591,175840463134,1040.0
190.0,25853,177896134352,1040.0
192.0,26061,179540760487,1040.0
194.0,26382,181222450079,1040.0
196.0,26400,181310174640,1040.0
