phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,1102083.099,3.15,2001,11.984,0.01
history_parse,298.600,0.00,2001,0.000,0.00
bucket_stream,26951138.929,76.99,16459,135949.160,5.04
xdr_decompress,6487464.257,18.53,8004,47129.386,7.26
xdr_parse_ledger,491.160,0.00,2001,0.000,0.00
xdr_parse_tx,371118.809,1.06,2001,0.000,0.00
xdr_parse_result,92442.159,0.26,2001,0.000,0.00
xdr_parse_scp,1605.336,0.00,2001,0.000,0.00
cross_file_verify,45.229,0.00,2001,0.000,0.00
chain_verify,0.116,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
