phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,140.282,0.06,3,0.018,0.13
history_parse,0.448,0.00,3,0.000,0.00
bucket_stream,232091.152,98.90,52,15649.894,67.43
xdr_decompress,1762.561,0.75,12,70.750,40.14
xdr_parse_ledger,0.713,0.00,3,0.000,0.00
xdr_parse_tx,537.857,0.23,3,0.000,0.00
xdr_parse_result,141.804,0.06,3,0.000,0.00
xdr_parse_scp,2.310,0.00,3,0.000,0.00
cross_file_verify,0.086,0.00,3,0.000,0.00
chain_verify,0.001,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
