phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,693017.003,6.82,2001,11.984,0.02
history_parse,103.909,0.00,2001,0.000,0.00
bucket_stream,6173804.411,60.74,16459,135949.160,22.02
xdr_decompress,3197090.282,31.45,8004,47129.386,14.74
xdr_parse_ledger,137.395,0.00,2001,0.000,0.00
xdr_parse_tx,81575.699,0.80,2001,0.000,0.00
xdr_parse_result,18831.782,0.19,2001,0.000,0.00
xdr_parse_scp,545.985,0.01,2001,0.000,0.00
cross_file_verify,29.102,0.00,2001,0.000,0.00
chain_verify,0.284,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
