phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,429398.273,5.95,2001,11.984,0.03
history_parse,101.128,0.00,2001,0.000,0.00
bucket_stream,4710794.062,65.28,16459,135949.160,28.86
xdr_decompress,1972720.889,27.34,8004,47129.386,23.89
xdr_parse_ledger,152.410,0.00,2001,0.000,0.00
xdr_parse_tx,82952.935,1.15,2001,0.000,0.00
xdr_parse_result,19311.127,0.27,2001,0.000,0.00
xdr_parse_scp,557.344,0.01,2001,0.000,0.00
cross_file_verify,39.238,0.00,2001,0.000,0.00
chain_verify,0.069,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
