t_s,files_done,bytes_done,peak_rss_mb
2.0,408,2921734647,833.5
4.0,823,6078865810,997.1
6.0,1275,9231701389,1164.0
8.0,1707,13087124286,1197.1
10.0,2115,15394561709,1286.3
12.0,2544,18246519543,1286.3
14.0,3045,20956308989,1286.3
16.0,3528,28235319427,1286.3
18.0,3997,30330684970,1286.3
20.0,4466,32896357054,1286.3
22.0,4943,35448114439,1286.3
24.0,5349,39847941422,1286.3
26.0,5751,42591255362,1287.6
28.0,6157,45727485781,1332.4
30.0,6589,48443154732,1375.1
32.0,7107,52393019231,1375.1
34.0,7528,54935872624,1375.1
36.0,7963,57253793238,1375.1
38.0,8397,61612830876,1375.1
40.0,8797,65414586891,1375.1
42.0,9236,68389334366,1389.7
44.0,9697,70594770356,1392.7
46.0,10207,73315580224,1392.7
48.0,10684,75611433406,1392.7
50.0,11200,78098006286,1405.1
52.0,11670,81792807265,1405.1
54.0,12121,85565717205,1405.1
56.0,12645,89179842168,1405.1
58.0,13099,91700548359,1405.1
60.0,13581,95777558811,1405.1
62.0,14080,98292183693,1405.1
64.0,14576,100644291634,1405.1
66.0,15064,102590435305,1405.1
68.0,15613,112588933884,1405.1
70.0,16177,116154931282,1405.1
72.0,16682,118613640466,1405.1
74.0,17153,121813186234,1405.1
76.0,17712,124836250695,1405.1
78.0,18214,127959873390,1407.1
80.0,18748,132434616893,1446.6
82.0,19304,135108981120,1521.5
84.0,19813,138161216888,1526.8
86.0,20331,140932145733,1595.0
88.0,20760,144603845219,1595.0
90.0,21218,147932163458,1595.0
92.0,21713,150063142186,1595.0
94.0,22202,152464225467,1595.0
96.0,22779,154862034087,1595.0
98.0,23309,158610481811,1595.0
100.0,23752,162083794825,1595.0
102.0,24188,164564246770,1595.0
104.0,24698,167412263180,1595.0
106.0,25212,170271086474,1595.0
108.0,25625,173881541171,1598.6
110.0,26006,176827960347,1646.9
112.0,26408,179314183087,1646.9
114.0,26463,181549908489,1646.9
