phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,16378.430,1.35,2001,11.984,0.73
history_parse,132.354,0.01,2001,0.000,0.00
bucket_stream,815877.312,67.49,16459,135949.160,166.63
xdr_decompress,275243.949,22.77,8004,47129.386,171.23
xdr_parse_ledger,140.578,0.01,2001,0.000,0.00
xdr_parse_tx,81145.155,6.71,2001,0.000,0.00
xdr_parse_result,19314.591,1.60,2001,0.000,0.00
xdr_parse_scp,627.571,0.05,2001,0.000,0.00
cross_file_verify,19.885,0.00,2001,0.000,0.00
chain_verify,0.060,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
