phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,1520145.627,4.79,2001,11.984,0.01
history_parse,301.430,0.00,2001,0.000,0.00
bucket_stream,22122679.723,69.76,16459,135949.160,6.15
xdr_decompress,7602592.683,23.97,8004,47129.386,6.20
xdr_parse_ledger,485.911,0.00,2001,0.000,0.00
xdr_parse_tx,373397.653,1.18,2001,0.000,0.00
xdr_parse_result,92297.460,0.29,2001,0.000,0.00
xdr_parse_scp,1626.415,0.01,2001,0.000,0.00
cross_file_verify,49.625,0.00,2001,0.000,0.00
chain_verify,0.100,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
