phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,6737.268,0.12,2001,11.984,1.78
history_parse,269.564,0.00,2001,0.000,0.00
bucket_stream,3947403.185,69.50,16459,135949.160,34.44
xdr_decompress,1266554.342,22.30,8004,47129.386,37.21
xdr_parse_ledger,464.550,0.01,2001,0.000,0.00
xdr_parse_tx,365795.203,6.44,2001,0.000,0.00
xdr_parse_result,90830.665,1.60,2001,0.000,0.00
xdr_parse_scp,1568.044,0.03,2001,0.000,0.00
cross_file_verify,41.900,0.00,2001,0.000,0.00
chain_verify,0.225,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
