phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,1752.579,0.41,2001,11.984,6.84
history_parse,126.766,0.03,2001,0.000,0.00
bucket_stream,258347.359,60.09,16459,135949.160,526.23
xdr_decompress,70675.293,16.44,8004,47129.386,666.84
xdr_parse_ledger,140.644,0.03,2001,0.000,0.00
xdr_parse_tx,79234.430,18.43,2001,0.000,0.00
xdr_parse_result,19033.169,4.43,2001,0.000,0.00
xdr_parse_scp,592.343,0.14,2001,0.000,0.00
cross_file_verify,23.822,0.01,2001,0.000,0.00
chain_verify,0.064,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
