phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,431206.518,6.07,2001,11.984,0.03
history_parse,105.194,0.00,2001,0.000,0.00
bucket_stream,4598568.615,64.78,16459,135949.160,29.56
xdr_decompress,1966330.834,27.70,8004,47129.386,23.97
xdr_parse_ledger,157.016,0.00,2001,0.000,0.00
xdr_parse_tx,82133.990,1.16,2001,0.000,0.00
xdr_parse_result,19319.703,0.27,2001,0.000,0.00
xdr_parse_scp,548.060,0.01,2001,0.000,0.00
cross_file_verify,39.998,0.00,2001,0.000,0.00
chain_verify,0.080,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
