t_s,files_done,bytes_done,peak_rss_mb
2.0,409,2974485019,824.0
4.0,812,6053482803,1014.1
6.0,1296,9295447111,1092.4
8.0,1731,12834343557,1186.1
10.0,2174,15657787675,1186.1
12.0,2605,18468742819,1190.7
14.0,3093,24076810386,1209.3
16.0,3557,28357551214,1249.5
18.0,4038,30498397370,1249.5
20.0,4501,33055094324,1249.5
22.0,4975,35649852889,1271.3
24.0,5396,40166249453,1271.3
26.0,5801,42865794409,1291.1
28.0,6210,45961348962,1291.1
30.0,6637,48784477179,1294.9
32.0,7145,52537732495,1294.9
34.0,7598,55228615102,1331.2
36.0,8018,58586330679,1331.2
38.0,8445,61893867779,1331.2
40.0,8866,65767417824,1331.2
42.0,9304,68703362354,1331.2
44.0,9769,70972727203,1331.2
46.0,10255,73532725645,1373.5
48.0,10771,75938088188,1373.5
50.0,11257,78415102906,1373.5
52.0,11731,82222079586,1373.5
54.0,12213,86447833747,1373.5
56.0,12725,89554218983,1373.5
58.0,13173,92045704518,1373.5
60.0,13664,96359046222,1373.5
62.0,14160,98642354923,1373.5
64.0,14671,101061631688,1373.5
66.0,15195,103216676715,1373.5
68.0,15759,113318034291,1373.5
70.0,16335,117002625975,1373.5
72.0,16806,119960605045,1373.5
74.0,17278,122582708948,1373.5
76.0,17853,125771814052,1373.5
78.0,18357,128945375492,1373.5
80.0,18941,133297251560,1377.1
82.0,19451,136070278257,1412.0
84.0,19957,138875693925,1438.2
86.0,20445,141638477307,1453.7
88.0,20869,145974219228,1453.7
90.0,21369,148622183291,1453.7
92.0,21876,151096741826,1453.7
94.0,22381,153369760324,1453.7
96.0,22955,155737979733,1453.7
98.0,23471,159634702603,1453.7
100.0,23908,163033958539,1453.7
102.0,24369,165706904502,1453.7
104.0,24872,168711187710,1453.7
106.0,25379,171255332766,1469.4
108.0,25754,175221003020,1469.4
110.0,26144,177435868785,1526.5
112.0,26463,181549908489,1526.5
