phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,6599.036,0.12,2001,11.984,1.82
history_parse,292.607,0.01,2001,0.000,0.00
bucket_stream,3978229.991,70.73,16459,135949.160,34.17
xdr_decompress,1180367.573,20.99,8004,47129.386,39.93
xdr_parse_ledger,465.704,0.01,2001,0.000,0.00
xdr_parse_tx,365387.575,6.50,2001,0.000,0.00
xdr_parse_result,91724.251,1.63,2001,0.000,0.00
xdr_parse_scp,1573.528,0.03,2001,0.000,0.00
cross_file_verify,42.470,0.00,2001,0.000,0.00
chain_verify,0.105,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
