t_s,files_done,bytes_done,peak_rss_mb
2.0,39,7748932613,205.7
4.0,39,7748932613,205.7
6.0,39,7748932613,205.7
8.0,39,7748932613,205.7
10.0,179,16083196864,289.2
12.0,468,18422332279,350.2
14.0,683,20441052828,361.1
16.0,1004,22591308245,377.9
18.0,1410,24476317207,412.5
20.0,1757,26363790474,435.4
22.0,2094,28308444104,453.3
24.0,2402,30253410536,454.6
26.0,2666,31642797476,459.0
28.0,2997,34234773810,460.7
30.0,3415,36236226459,461.8
32.0,3776,38099885871,474.5
34.0,4150,40290316496,483.2
36.0,4308,41140011872,485.0
38.0,4691,44038080259,490.6
40.0,5054,46460859236,504.3
42.0,5328,49162040685,509.6
44.0,5569,51103921208,515.4
46.0,5885,53366807829,525.2
48.0,6083,55489661197,527.0
50.0,6379,57325954128,535.2
52.0,6723,59678885028,543.0
54.0,7050,61692200773,544.7
56.0,7311,63522298945,550.8
58.0,7614,65111112624,555.3
60.0,7922,67463182996,562.0
62.0,8262,69757608402,568.5
64.0,8545,71770792568,575.9
66.0,8849,73839444404,575.9
68.0,9129,75949894650,575.9
70.0,9283,77864150274,575.9
72.0,9666,79611255444,581.4
74.0,10026,81526355096,584.8
76.0,10370,83303315734,586.1
78.0,10752,85194164585,586.3
80.0,10951,86011960388,591.8
82.0,11348,89432961926,592.3
84.0,11644,92025792588,592.3
86.0,11939,94190829811,595.8
88.0,12255,96406371972,595.8
90.0,12620,98418238872,602.5
92.0,12799,100674986590,602.9
94.0,13108,102684539938,608.9
96.0,13468,104495305492,610.3
98.0,13832,106581584959,613.3
100.0,14174,108380472781,621.3
102.0,14431,110171305196,621.3
104.0,14858,112043572211,623.0
106.0,15312,113969135369,623.0
108.0,15783,115839844201,625.1
110.0,16028,116699176588,625.1
112.0,16464,119447182328,628.2
114.0,16875,121641467267,628.2
116.0,17236,123793122353,628.2
118.0,17665,126135565683,628.2
120.0,17813,128126075993,628.2
122.0,18180,130544836140,628.2
124.0,18479,133140960806,628.2
126.0,18808,135136024850,629.4
128.0,19092,136315491708,629.4
130.0,19526,138921230200,629.5
132.0,19654,140995860881,629.5
134.0,20072,143205580572,631.3
136.0,20416,145332446817,632.4
138.0,20787,147449269950,633.0
140.0,21099,149430733494,639.5
142.0,21345,151352526057,639.5
144.0,21728,153077632619,639.5
146.0,22123,154948899621,639.5
148.0,22510,156833978530,639.5
150.0,22938,158363756656,640.8
152.0,23243,160506392499,640.8
154.0,23626,162545480175,644.5
156.0,23981,164778082154,644.5
158.0,24306,166925615123,644.5
160.0,24637,168742556972,644.5
162.0,24877,171103295087,644.5
164.0,25267,173196117290,645.2
166.0,25533,175410962694,660.8
168.0,25852,177868305512,666.6
170.0,26074,179558725632,671.0
172.0,26400,181310174640,671.2
