phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,1726.077,0.44,2001,11.984,6.94
history_parse,125.016,0.03,2001,0.000,0.00
bucket_stream,228114.979,58.58,16459,135949.160,595.97
xdr_decompress,59944.528,15.39,8004,47129.386,786.22
xdr_parse_ledger,136.848,0.04,2001,0.000,0.00
xdr_parse_tx,79709.127,20.47,2001,0.000,0.00
xdr_parse_result,19004.565,4.88,2001,0.000,0.00
xdr_parse_scp,596.429,0.15,2001,0.000,0.00
cross_file_verify,23.748,0.01,2001,0.000,0.00
chain_verify,0.061,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
